ano_mes_hospt,qtd_anomes_hospt
2009-01,8
2009-02,7
2009-03,12
2009-04,8
2009-05,16
2009-06,4
2009-07,15
2009-08,12
2009-09,9
2009-10,15
2009-11,15
2009-12,17
2010-01,18
2010-02,8
2010-03,16
2010-04,14
2010-05,15
2010-06,13
2010-07,17
2010-08,8
2010-09,14
2010-10,17
2010-11,19
2010-12,17
2011-01,9
2011-02,14
2011-03,13
2011-04,5
2011-05,6
2011-06,12
2011-07,18
2011-08,8
2011-09,12
2011-10,12
2011-11,9
2011-12,13
2012-01,9
2012-02,6
2012-03,17
2012-04,6
2012-05,6
2012-06,19
2012-07,18
2012-08,16
2012-09,11
2012-10,20
2012-11,6
2012-12,10
2013-01,14
2013-02,12
2013-03,9
2013-04,12
2013-05,10
2013-06,10
2013-07,15
2013-08,13
2013-09,10
2013-10,12
2013-11,12
2013-12,9
2014-01,11
2014-02,10
2014-03,10
2014-04,14
2014-05,6
2014-06,19
2014-07,18
2014-08,21
2014-09,21
2014-10,13
2014-11,7
2014-12,9
2015-01,9
2015-02,13
2015-03,11
2015-04,16
2015-05,13
2015-06,11
2015-07,9
2015-08,13
2015-09,20
2015-10,18
2015-11,12
2015-12,15
2016-01,19
2016-02,11
2016-03,9
2016-04,14
2016-05,12
2016-06,8
2016-07,13
2016-08,20
2016-09,17
2016-10,14
2016-11,10
2016-12,13
2017-01,9
2017-02,13
2017-03,15
2017-04,7
2017-05,14
2017-06,11
2017-07,12
2017-08,12
2017-09,19
2017-10,21
2017-11,11
2017-12,10
2018-01,16
2018-02,13
2018-03,18
2018-04,19
2018-05,11
2018-06,16
2018-07,10
2018-08,12
2018-09,22
2018-10,13
2018-11,14
2018-12,14
2019-01,18
2019-02,11
2019-03,20
2019-04,19
2019-05,11
2019-06,19
2019-07,23
2019-08,19
2019-09,16
2019-10,22
2019-11,15
2019-12,14
